,user_id,settings,following
0,XzrUzWeqEsYgVazU40z3aQTugfo2,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}","['LEN5g9xNf2QDmUeLdNuKl9LJasR2', 'bkktT40tJQO31hQiHL6HWEYL8K12', 'edsjHVZy0ZahZMkKDD79m1JvLIP2', 'i9Lwymw7WYUAFBGNKJTL9WrdKwp1', 'z9tTBvLdkJYw0CLHR47EcTXRKCn2']"
1,8nQYqXG7nqVTOLfuFQ2PyBC6KSk1,{'understoodLanguages': [‘ja']},['hDZ9YjNP9QRTgyR5EBjQy78Bmxp1']
2,bFmgWbyQJMOQJpBH8JmuiRRAtlX2,,['ic2UuFm7wJR4TRuuMQ2zqUqLkek2']
3,rDbKyOSjh4OrX9XZfm8x4RTy8er2,"{'understoodLanguages': [‘en-GB’, ‘de-DE’]}",['JbEjr8THdLe9iHayUepbxA5BMT83']
4,ruMg3QezQFW88VQedJUBDmyrK683,{'understoodLanguages': ['en-GB']},['8jpvopARwgQXW10zVTx572o9CDt2']
5,E9JLrDjjkRVMXxZgifCaklUdkjl1,,
6,4d61OyolKbSxU79saTV2Ilx2B2x1,,
7,6xrOHj0UG9R0Zb06MYUxQ2F7cqv2,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}",
8,okOHWxX7adTZhxPciC8uRRL3Bs42,,
9,bvzJaA9JCpTGYypTkcM5VnJTf5j2,{'understoodLanguages': ['de-DE']},['pgIKRqa0UnbQsWO3mR67P5j1JI13']
10,ZfciTr7Dm1WuCyzPoojVJ3tdwm02,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}",['XIH6UpcSMQPlO8VUlYxfCXSRKQa2']
11,9au537UEwQVitZrL9ZZ5n0aNFpH2,{'understoodLanguages': ['de-DE']},['MQRJXuArx0TA3LQcnpebcv9yhy83']
12,mgtilJh3vVQhliIAz7UWBE4y3MH3,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}",['emvfp9uUR4N0NIlHTe7DYjtrskJ2']
13,KmN2O2e4O5ZK8dY0jZzV1GXmNRz2,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}",['S6sl7glfGeeJTLst3X4WsR9qblL2']
14,I9sLJBeVOZWlsJvGikmvVQx3NNz2,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}","['UiFjiy1Z4QX2XEuYT6rkkKWeEGS2', 'hHrdkeSObkYOBUIk2QahpnbXTNC2', 'ow4YmLg2brZBm8A5SUU18Ip4FzD3']"
15,feoLtV2ra5ezwJ9gomzJRq9yrF92,"{'understoodLanguages': [‘en-GB’, ‘es-ES’]}",['eyQIWpgPbHg54aETPmstMaQrS1A3']
16,dTzoZYa0GFU0H7sm0403OgjMeP33,{'understoodLanguages': [‘ja']},
17,EJDlnDLAp3NFNwZWaOQAzmBLk0Y2,,
18,oAj6QYIO25Oq0fAGwHEWEf5xOLF3,{'understoodLanguages': ['de-DE']},
19,XgJTz9VG2RTrbMeKSa8LqdGa2qs1,,['y674P7nbFFXpxYBeyyKC9Q9yRDu2']
20,FCy3sQdOOQSGlvwMvJfswSqpNnj2,,"['vKDLRd3Y9ITGNGYwiomYPSwUDYZ2', 'vzBM9bz3kOPwgVeHaEALDngJaH52']"
21,6Tkg8KChY0SWrKx40TpmAlARyLI2,{'understoodLanguages': [‘ja']},['qp2l2v1XLqNmyrkdV5Rw1EnRgcm2']
22,TVPO9F47saf752IAMwzFBMAJUR12,,['cV81FzNLXRUcLv0lGfy27FEtQ5B3']
23,TGeUX3NHgYgRoJ26F6eatS4k0Zr1,,
24,X8KT2n8HJzZO1k0JSyoBHmSfgcC3,,['D1gJFONcTJZqOX7Zl8RQZbFkpu82']
25,pOu3elOFcKRsTXeNiUbQ6d0q8iF2,,"['YgcBspHCJbgnTTj71hmrRDwIsaL2', 'uKvsAggUYYfWlF4Hpqqy0TUd9N82', 'w39jeItrAobgE4zVZqfBlvDZnxf1']"
26,jPcAX1KpuKb41gpu1pYCfh7W47g1,,['55yuJ0aPKsZFg95hC0vCNvEGiSJ3']
27,pUXbbhR77FhnxoCCUQIFjwkaLGS2,{'understoodLanguages': [‘ja']},['QYpyRyH09pedNO1oAJMBzLOIeiW2']
